


Plate Number,Country,State,Plate Type,Year,Make,Model,Start Date/Time,End Date/Time,Is a Rental Vehicle,Vehicle Type,Delete
AFD0091,USA,SD,PASSENGER,2025,,Other,,,N,72,Y
AFD0092,USA,TN,PASSENGER,2023,,Other,,,N,72,Y
AFD0093,USA,TX,PASSENGER,2024,,Other,,,N,72,Y
AFD0094,USA,UT,PASSENGER,2025,,Other,,,N,72,Y
AFD0095,USA,VT,PASSENGER,2024,,Other,,,N,72,Y
AFD0096,USA,VA,PASSENGER,2026,,Other,,,N,72,Y
AFD0097,USA,WA,PASSENGER,2026,,Other,,,N,72,Y
AFD0098,USA,WV,PASSENGER,2023,,Other,,,N,72,Y
AFD0099,USA,WI,PASSENGER,2025,,Other,,,N,72,Y
AFH0001,USA,AL,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0002,USA,AK,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0003,USA,AZ,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0004,USA,AR,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0005,USA,CA,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0006,USA,CO,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0007,USA,CT,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0008,USA,DE,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0009,USA,FL,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0010,USA,GA,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0011,USA,HI,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0012,USA,ID,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0013,USA,IL,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0014,USA,IN,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0015,USA,IA,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0016,USA,KS,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0017,USA,KY,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0018,USA,LA,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0019,USA,ME,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0020,USA,MD,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0021,USA,MA,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0022,USA,MI,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0023,USA,MN,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0024,USA,MS,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0025,USA,MO,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0026,USA,MT,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0027,USA,NE,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0028,USA,NV,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0029,USA,NH,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0030,USA,NJ,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0031,USA,NM,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0032,USA,NY,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0033,USA,NC,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0034,USA,ND,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0035,USA,OH,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0036,USA,OK,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0037,USA,OR,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0038,USA,PA,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0039,USA,RI,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0040,USA,SC,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0041,USA,SD,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0042,USA,TN,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0043,USA,TX,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0044,USA,UT,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0045,USA,VT,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0046,USA,VA,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0047,USA,WA,PASSENGER,2026,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0048,USA,WV,PASSENGER,2023,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0049,USA,WI,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0050,USA,WY,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0051,USA,AL,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0052,USA,AK,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0053,USA,AZ,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0054,USA,AR,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0055,USA,CA,PASSENGER,2025,,Other,08/19/2025 08:00 AM,,N,72,N
AFH0056,USA,CO,PASSENGER,2024,,Other,08/19/2025 08:00 AM,,N,72,N
