LICENSE PLATE,STATE,PLATE TYPE,YEAR,MAKE,MODEL,IAG CLASS
AFN0001,AL,,,,,
AFN0002,AK,,,,,
AFN0003,AZ,,,,,
AFN0004,AR,,,,,
AFN0005,CA,,,,,
AFN0006,CO,,,,,
AFN0007,CT,,,,,
AFN0008,DE,,,,,
AFN0009,FL,,,,,
AFN0010,GA,,,,,
AFN0011,HI,,,,,
AFN0012,ID,,,,,
AFN0013,IL,,,,,
AFN0014,IN,,,,,
AFN0015,IA,,,,,
AFN0016,KS,,,,,
AFN0017,KY,,,,,
AFN0018,LA,,,,,
AFN0019,ME,,,,,
AFN0020,MD,,,,,
AFN0021,MA,,,,,
AFN0022,MI,,,,,
AFN0023,MN,,,,,
AFN0024,MS,,,,,
AFN0025,MO,,,,,
AFN0026,MT,,,,,
AFN0027,NE,,,,,
AFN0028,NV,,,,,
AFN0029,NH,,,,,
AFN0030,NJ,,,,,
AFN0031,NM,,,,,
AFN0032,NY,,,,,
AFN0033,NC,,,,,
AFN0034,ND,,,,,
AFN0035,OH,,,,,
AFN0036,OK,,,,,
AFN0037,OR,,,,,
AFN0038,PA,,,,,
AFN0039,RI,,,,,
AFN0040,SC,,,,,
AFN0041,SD,,,,,
AFN0042,TN,,,,,
AFN0043,TX,,,,,
AFN0044,UT,,,,,
AFN0045,VT,,,,,
AFN0046,VA,,,,,
AFN0047,WA,,,,,
AFN0048,WV,,,,,
AFN0049,WI,,,,,
AFN0050,WY,,,,,
AFN0051,AL,,,,,
AFN0052,AK,,,,,
AFN0053,AZ,,,,,
AFN0054,AR,,,,,
AFN0055,CA,,,,,
AFN0056,CO,,,,,
AFN0057,CT,,,,,
AFN0058,DE,,,,,
AFN0059,FL,,,,,
AFN0060,GA,,,,,
AFN0061,HI,,,,,
AFN0062,ID,,,,,
AFN0063,IL,,,,,
AFN0064,IN,,,,,
AFN0065,IA,,,,,
AFN0066,KS,,,,,
AFN0067,KY,,,,,
AFN0068,LA,,,,,
AFN0069,ME,,,,,
AFN0070,MD,,,,,
AFN0071,MA,,,,,
AFN0072,MI,,,,,
AFN0073,MN,,,,,
AFN0074,MS,,,,,
AFN0075,MO,,,,,
AFN0076,MT,,,,,
AFN0077,NE,,,,,
AFN0078,NV,,,,,
AFN0079,NH,,,,,
AFN0080,NJ,,,,,
AFN0081,NM,,,,,
AFN0082,NY,,,,,
AFN0083,NC,,,,,
AFN0084,ND,,,,,
AFN0085,OH,,,,,
AFN0086,OK,,,,,
AFN0087,OR,,,,,
AFN0088,PA,,,,,
AFN0089,RI,,,,,
AFN0090,SC,,,,,
AFN0091,SD,,,,,
AFN0092,TN,,,,,
AFN0093,TX,,,,,
AFN0094,UT,,,,,
AFN0095,VT,,,,,
AFN0096,VA,,,,,
AFN0097,WA,,,,,
AFN0098,WV,,,,,
AFN0099,WI,,,,,
AFN0100,WY,,,,,
