License Plate Number,License Plate State
AFL0001,AL
AFL0002,AK
AFL0003,AZ
AFL0004,AR
AFL0005,CA
AFL0006,CO
AFL0007,CT
AFL0008,DE
AFL0009,FL
AFL0010,GA
AFL0011,HI
AFL0012,ID
AFL0013,IL
AFL0014,IN
AFL0015,IA
AFL0016,KS
AFL0017,KY
AFL0018,LA
AFL0019,ME
AFL0020,MD
AFL0021,MA
AFL0022,MI
AFL0023,MN
AFL0024,MS
AFL0025,MO
AFL0026,MT
AFL0027,NE
AFL0028,NV
AFL0029,NH
AFL0030,NJ
AFL0031,NM
AFL0032,NY
AFL0033,NC
AFL0034,ND
AFL0035,OH
AFL0036,OK
AFL0037,OR
AFL0038,PA
AFL0039,RI
AFL0040,SC
AFL0041,SD
AFL0042,TN
AFL0043,TX
AFL0044,UT
AFL0045,VT
AFL0046,VA
AFL0047,WA
AFL0048,WV
AFL0049,WI
AFL0050,WY
AFL0051,AL
AFL0052,AK
AFL0053,AZ
AFL0054,AR
AFL0055,CA
AFL0056,CO
AFL0057,CT
AFL0058,DE
AFL0059,FL
AFL0060,GA
AFL0061,HI
AFL0062,ID
AFL0063,IL
AFL0064,IN
AFL0065,IA
AFL0066,KS
AFL0067,KY
AFL0068,LA
AFL0069,ME
AFL0070,MD
AFL0071,MA
AFL0072,MI
AFL0073,MN
AFL0074,MS
AFL0075,MO
AFL0076,MT
AFL0077,NE
AFL0078,NV
AFL0079,NH
AFL0080,NJ
AFL0081,NM
AFL0082,NY
AFL0083,NC
AFL0084,ND
AFL0085,OH
AFL0086,OK
AFL0087,OR
AFL0088,PA
AFL0089,RI
AFL0090,SC
AFL0091,SD
AFL0092,TN
AFL0093,TX
AFL0094,UT
AFL0095,VT
AFL0096,VA
AFL0097,WA
AFL0098,WV
AFL0099,WI
AFL0100,WY
