


Plate Number,Country,State,Plate Type,Year,Make,Model,Start Date/Time,End Date/Time,Is a Rental Vehicle,Vehicle Type,Delete
AFT0014,USA,IN,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0074,USA,MS,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0083,USA,NC,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0084,USA,ND,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0085,USA,OH,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0015,USA,IA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0018,USA,LA,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0019,USA,ME,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0020,USA,MD,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0021,USA,MA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0022,USA,MI,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0023,USA,MN,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0024,USA,MS,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0025,USA,MO,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0026,USA,MT,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0027,USA,NE,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0028,USA,NV,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0029,USA,NH,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0030,USA,NJ,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0031,USA,NM,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0032,USA,NY,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0033,USA,NC,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
