LICENSE PLATE,STATE,PLATE TYPE,YEAR,MAKE,MODEL,IAG CLASS
AFG0001,AL,,,,,
AFG0002,AK,,,,,
AFG0003,AZ,,,,,
AFG0004,AR,,,,,
AFG0005,CA,,,,,
AFG0006,CO,,,,,
AFG0007,CT,,,,,
AFG0008,DE,,,,,
AFG0009,FL,,,,,
AFG0010,GA,,,,,
AFG0011,HI,,,,,
AFG0012,ID,,,,,
AFG0013,IL,,,,,
AFG0014,IN,,,,,
AFG0015,IA,,,,,
AFG0016,KS,,,,,
AFG0017,KY,,,,,
AFG0018,LA,,,,,
AFG0019,ME,,,,,
AFG0020,MD,,,,,
AFG0021,MA,,,,,
AFG0022,MI,,,,,
AFG0023,MN,,,,,
AFG0024,MS,,,,,
AFG0025,MO,,,,,
AFG0026,MT,,,,,
AFG0027,NE,,,,,
AFG0028,NV,,,,,
AFG0029,NH,,,,,
AFG0030,NJ,,,,,
AFG0031,NM,,,,,
AFG0032,NY,,,,,
AFG0033,NC,,,,,
AFG0034,ND,,,,,
AFG0035,OH,,,,,
AFG0036,OK,,,,,
AFG0037,OR,,,,,
AFG0038,PA,,,,,
AFG0039,RI,,,,,
AFG0040,SC,,,,,
AFG0041,SD,,,,,
AFG0042,TN,,,,,
AFG0043,TX,,,,,
AFG0044,UT,,,,,
AFG0045,VT,,,,,
AFG0046,VA,,,,,
AFG0047,WA,,,,,
AFG0048,WV,,,,,
AFG0049,WI,,,,,
AFG0050,WY,,,,,
AFG0051,AL,,,,,
AFG0052,AK,,,,,
AFG0053,AZ,,,,,
AFG0054,AR,,,,,
AFG0055,CA,,,,,
AFG0056,CO,,,,,
AFG0057,CT,,,,,
AFG0058,DE,,,,,
AFG0059,FL,,,,,
AFG0060,GA,,,,,
AFG0061,HI,,,,,
AFG0062,ID,,,,,
AFG0063,IL,,,,,
AFG0064,IN,,,,,
AFG0065,IA,,,,,
AFG0066,KS,,,,,
AFG0067,KY,,,,,
AFG0068,LA,,,,,
AFG0069,ME,,,,,
AFG0070,MD,,,,,
AFG0071,MA,,,,,
AFG0072,MI,,,,,
AFG0073,MN,,,,,
AFG0074,MS,,,,,
AFG0075,MO,,,,,
AFG0076,MT,,,,,
AFG0077,NE,,,,,
AFG0078,NV,,,,,
AFG0079,NH,,,,,
AFG0080,NJ,,,,,
AFG0081,NM,,,,,
AFG0082,NY,,,,,
AFG0083,NC,,,,,
AFG0084,ND,,,,,
AFG0085,OH,,,,,
AFG0086,OK,,,,,
AFG0087,OR,,,,,
AFG0088,PA,,,,,
AFG0089,RI,,,,,
AFG0090,SC,,,,,
AFG0091,SD,,,,,
AFG0092,TN,,,,,
AFG0093,TX,,,,,
AFG0094,UT,,,,,
AFG0095,VT,,,,,
AFG0096,VA,,,,,
AFG0097,WA,,,,,
AFG0098,WV,,,,,
AFG0099,WI,,,,,
AFG0100,WY,,,,,
