LICENSE PLATE,STATE,PLATE TYPE,YEAR,MAKE,MODEL,IAG CLASS
AFO0001,AL,,,,,
AFO0002,AK,,,,,
AFO0003,AZ,,,,,
AFO0004,AR,,,,,
AFO0005,CA,,,,,
AFO0006,CO,,,,,
AFO0007,CT,,,,,
AFO0008,DE,,,,,
AFO0009,FL,,,,,
AFO0010,GA,,,,,
AFO0011,HI,,,,,
AFO0012,ID,,,,,
AFO0013,IL,,,,,
AFO0014,IN,,,,,
AFO0015,IA,,,,,
AFO0016,KS,,,,,
AFO0017,KY,,,,,
AFO0018,LA,,,,,
AFO0019,ME,,,,,
AFO0020,MD,,,,,
AFO0021,MA,,,,,
AFO0022,MI,,,,,
AFO0023,MN,,,,,
AFO0024,MS,,,,,
AFO0025,MO,,,,,
AFO0026,MT,,,,,
AFO0027,NE,,,,,
AFO0028,NV,,,,,
AFO0029,NH,,,,,
AFO0030,NJ,,,,,
AFO0031,NM,,,,,
AFO0032,NY,,,,,
AFO0033,NC,,,,,
AFO0034,ND,,,,,
AFO0035,OH,,,,,
AFO0036,OK,,,,,
AFO0037,OR,,,,,
AFO0038,PA,,,,,
AFO0039,RI,,,,,
AFO0040,SC,,,,,
AFO0041,SD,,,,,
AFO0042,TN,,,,,
AFO0043,TX,,,,,
AFO0044,UT,,,,,
AFO0045,VT,,,,,
AFO0046,VA,,,,,
AFO0047,WA,,,,,
AFO0048,WV,,,,,
AFO0049,WI,,,,,
AFO0050,WY,,,,,
AFO0051,AL,,,,,
AFO0052,AK,,,,,
AFO0053,AZ,,,,,
AFO0054,AR,,,,,
AFO0055,CA,,,,,
AFO0056,CO,,,,,
AFO0057,CT,,,,,
AFO0058,DE,,,,,
AFO0059,FL,,,,,
AFO0060,GA,,,,,
AFO0061,HI,,,,,
AFO0062,ID,,,,,
AFO0063,IL,,,,,
AFO0064,IN,,,,,
AFO0065,IA,,,,,
AFO0066,KS,,,,,
AFO0067,KY,,,,,
AFO0068,LA,,,,,
AFO0069,ME,,,,,
AFO0070,MD,,,,,
AFO0071,MA,,,,,
AFO0072,MI,,,,,
AFO0073,MN,,,,,
AFO0074>,MS,,,,,
AFO0075<,MO,,,,,
AFO0076;,MT,,,,,
AFO0077:,NE,,,,,
AFO0078/,NV,,,,,
AFO0079?,NH,,,,,
AFO0 080,NJ,,,,,
AFO0081[,NM,,,,,
AFO0082],NY,,,,,
AFO0083{,NC,,,,,
AFO0084},ND,,,,,
AFO0085=,OH,,,,,
AFO0086+,OK,,,,,
AFO0087-,OR,,,,,
AFO0088_,PA,,,,,
AFO0089),RI,,,,,
AFO0090(,SC,,,,,
AFO0091*,SD,,,,,
AFO0092&,TN,,,,,
AFO0093^,TX,,,,,
AFO0094%,UT,,,,,
AFO0095$,VT,,,,,
AFO0096#,VA,,,,,
AFO0097@,WA,,,,,
AFO0098!,WV,,,,,
AFO0099`,WI,,,,,
AFO0100~,WY,,,,,
