Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
1212,ADO0074-MN,20250927,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,114542,16.06,1
1213,ADO0074-MN,20250927,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,114542,16.06,1
1214,ADO0073-MI,20250927,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
1215,ADO0073-MI,20250927,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,114542,16.06,1
1216,ADO0072-MA,20250927,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
1217,ADO0072-MA,20250927,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,114542,16.06,1
1218,ADO0071-MD,20250927,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
1219,ADO0071-MD,20250927,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
1220,ADO0068-KY,20250927,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
1221,ADO0068-KY,20250927,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20250929,114542,14.06,1
