Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
1212,AFO0090(-SC,20251009,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1213,AFO0089)-RI,20251009,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1214,AFO0088_-PA,20251009,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1215,AFO0087--OR,20251009,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1216,AFO0086+-OK,20251009,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1217,AFO0085=-OH,20251009,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1218,AFO0084}-ND,20251009,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1219,AFO0083{-NC,20251009,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1220,AFO0082]-NY,20251009,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1221,AFO0081[-NM,20251009,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1222,AFO0 080-NJ,20251009,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1223,AFO0079?-NH,20251009,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1224,AFO0078/-NV,20251009,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1225,AFO0077:-NE,20251009,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1226,AFO0076;-MT,20251009,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1227,AFO0075<-MO,20251009,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251011,120513,16.06,1
1228,AFO0074>-MS,20251009,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251011,120513,14.06,1
1229,ADO0074-MN,20250927,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1230,ADO0074-MN,20250927,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1231,ADO0073-MI,20250927,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20250929,120513,14.06,1
1232,ADO0073-MI,20250927,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1233,ADO0072-MA,20250927,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1234,ADO0072-MA,20250927,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1235,ADO0071-MD,20250927,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1236,ADO0071-MD,20250927,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1237,ADO0068-KY,20250927,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1238,ADO0068-KY,20250927,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1239,ADO0067-KS,20250927,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,120513,14.06,1
1240,ADO0067-KS,20250927,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20250929,120513,14.06,1
1241,ADO0066-IA,20250927,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20250929,120513,14.06,1
1242,ADO0066-IA,20250927,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1243,ADO0065-IN,20250927,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20250929,120513,14.06,1
1244,ADO0065-IN,20250927,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20250929,120513,16.06,1
1245,AFF0080-NJ,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1246,AFF0079-NH,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1247,AFF0078-NV,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1248,AFF0077-NE,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1249,AFF0076-MT,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1250,AFF0075-MO,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1251,AFF0074-MS,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1252,AFF0073-MN,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1253,AFF0072-MI,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1254,AFF0071-MA,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1255,AFF0070-MD,20250929,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1256,AFF0069-ME,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1257,AFF0068-LA,20250929,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1258,AFF0067-KY,20250929,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1259,AFF0066-KS,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1260,AFF0065-IA,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1261,AFF0064-IN,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1262,AFF0063-IL,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1263,AFF0062-ID,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1264,AFF0061-HI,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1265,AFF0059-FL,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1266,AFF0058-DE,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1267,AFF0057-CT,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1268,AFF0056-CO,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1269,AFF0055-CA,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1270,AFF0054-AR,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1271,AFF0053-AZ,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1272,AFF0052-AK,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1273,AFF0051-AL,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1274,AFF0050-WY,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1275,AFF0049-WI,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1276,AFF0048-WV,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1277,AFF0047-WA,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1278,AFF0046-VA,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1279,AFF0045-VT,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1280,AFF0044-UT,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1281,AFF0043-TX,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1282,AFF0042-TN,20250929,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1283,AFF0041-SD,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1284,AFF0040-SC,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1285,AFF0039-RI,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1286,AFF0038-PA,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1287,AFF0037-OR,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1288,AFF0036-OK,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1289,AFF0035-OH,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1290,AFF0034-ND,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1291,AFF0033-NC,20250929,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1292,AFF0032-NY,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1293,AFF0031-NM,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1294,AFF0030-NJ,20250929,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1295,AFF0029-NH,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1296,AFF0028-NV,20250929,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1297,AFF0027-NE,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1298,AFF0026-MT,20250929,EZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
