Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
12121,ADO0066-IA,20250928,E-ZPass NY,George Washington Bridge,Outerbridge,,20250929,174439,14.06,1
12122,ADO0067-KS,20250928,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250929,174439,18.72,1
12123,ADO0068-KY,20250928,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250929,174439,18.72,1
12124,ADO0072-MA,20250928,E-ZPass NY,George Washington Bridge,Outerbridge,,20250929,174439,14.06,1
12125,ADO0074-MN,20250928,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250929,174439,18.72,1
12126,AEA0001-AL,20250925,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250926,174439,18.72,1
12127,AEA0002-AK,20250925,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250926,174439,18.06,1
12128,AEA0003-AZ,20250925,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250926,174439,16.06,1
12129,AEA0010-GA,20250925,E-ZPass NY,George Washington Bridge,Outerbridge,,20250926,174439,14.06,1
12130,AEA0011-HI,20250925,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250926,174439,18.72,1
12131,AEA0012-ID,20250925,E-ZPass NY,George Washington Bridge,Outerbridge,,20250926,174439,14.06,1
12132,AEA0013-IL,20250925,E-ZPass NY,George Washington Bridge,Outerbridge,,20250926,174439,14.06,1
12133,AEA0014-IN,20250925,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250926,174439,18.06,1
12134,AEA0015-IA,20250925,E-ZPass NY,George Washington Bridge,Outerbridge,,20250926,174439,14.06,1
12135,AEA0016-KS,20250925,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250926,174439,18.06,1
12136,AEA0017-KY,20250925,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250926,174439,18.72,1
12137,AEA0020-MD,20250925,E-ZPass NY,George Washington Bridge,Outerbridge,,20250926,174439,14.06,1
12138,AEA0025-MO,20250925,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250926,174439,18.06,1
12139,AEA0026-MT,20250925,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250926,174439,18.06,1
