Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 06:01,SR 520 Bridge - Lane 01,AFO0090( SC,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 12:14,SR 99 Tunnel - Lane 02,AFO0089) RI,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 18:45,SR 99 Tunnel - Lane 02,AFO0088_ PA,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 06:24,SR 520 Bridge - Lane 01,AFO0087- OR,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 10:19,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0086+ OK,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 12:33,SR 520 Bridge - Lane 01,AFO0085= OH,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 12:25,SR 520 Bridge - Lane 01,AFO0084} ND,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 05:31,SR 99 Tunnel - Lane 02,AFO0083{ NC,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 07:56,SR 520 Bridge - Lane 01,AFO0082] NY,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 21:08,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
