Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 10:09,SR 520 Bridge - Lane 01,AFO0090( SC,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 1:34,SR 520 Bridge - Lane 01,AFO0089) RI,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 10:45,SR 520 Bridge - Lane 01,AFO0088_ PA,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 12:37,SR 520 Bridge - Lane 01,AFO0087- OR,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 23:00,SR 520 Bridge - Lane 01,AFO0086+ OK,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 2:39,SR 520 Bridge - Lane 01,AFO0085= OH,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 19:04,SR 99 Tunnel - Lane 02,AFO0084} ND,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 10:54,SR 520 Bridge - Lane 01,AFO0083{ NC,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 6:32,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0082] NY,4.5,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 3:46,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
