Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 5:00,SR 99 Tunnel - Lane 02,AFO0090( SC,2.8,
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 18:30,SR 99 Tunnel - Lane 02,AFO0089) RI,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 11:44,SR 99 Tunnel - Lane 02,AFO0088_ PA,2.8,
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 23:45,SR 520 Bridge - Lane 01,AFO0087- OR,4.9,
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 9:46,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0086+ OK,4.5,
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 16:59,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0085= OH,4.5,
10/13/2025,Toll - Good to Go! - Reversal,10/13/2025 1:17,SR 99 Tunnel - Lane 02,AFO0084} ND,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 18:49,SR 99 Tunnel - Lane 02,AFO0083{ NC,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 19:18,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0082] NY,4.5,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 11:17,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
