Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 17:02,SR 99 Tunnel - Lane 02,AFO0090( SC,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 22:43,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0089) RI,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 01:43,SR 99 Tunnel - Lane 02,AFO0088_ PA,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 11:12,SR 99 Tunnel - Lane 02,AFO0087- OR,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 22:12,SR 520 Bridge - Lane 01,AFO0086+ OK,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 14:09,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0085= OH,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 08:10,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0084} ND,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 19:56,SR 99 Tunnel - Lane 02,AFO0083{ NC,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 03:33,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0082] NY,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 12:41,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
