Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 16:49,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0090( SC,4.5,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 7:59,SR 99 Tunnel - Lane 02,AFO0089) RI,2.8,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 19:32,SR 99 Tunnel - Lane 02,AFO0088_ PA,2.8,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 3:10,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0087- OR,4.5,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 19:32,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0086+ OK,4.5,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 5:12,SR 520 Bridge - Lane 01,AFO0085= OH,4.9,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 11:01,SR 99 Tunnel - Lane 02,AFO0084} ND,2.8,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 22:22,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0083{ NC,4.5,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 3:34,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0082] NY,4.5,
10/9/2025,Toll - Good to Go! - Reversal,10/11/2025 4:34,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0081[ NM,4.5,
