Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 3:40,SR 520 Bridge - Lane 01,AFO0090( SC,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 21:29,SR 520 Bridge - Lane 01,AFO0089) RI,4.9,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 11:55,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0088_ PA,4.5,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 10:18,SR 99 Tunnel - Lane 02,AFO0087- OR,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 8:19,SR 99 Tunnel - Lane 02,AFO0086+ OK,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 12:24,SR 99 Tunnel - Lane 02,AFO0085= OH,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 13:33,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0084} ND,4.5,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 16:33,SR 99 Tunnel - Lane 02,AFO0083{ NC,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 4:18,SR 99 Tunnel - Lane 02,AFO0082] NY,2.8,
10/12/2025,Toll - Good to Go! - Reversal,10/12/2025 22:22,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
