Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 17:01,SR 99 Tunnel - Lane 02,AFO0090( SC,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 15:23,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0089) RI,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 00:17,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0088_ PA,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 21:53,SR 520 Bridge - Lane 01,AFO0087- OR,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 06:16,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0086+ OK,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 03:41,SR 99 Tunnel - Lane 02,AFO0085= OH,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 06:57,SR 520 Bridge - Lane 01,AFO0084} ND,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 22:03,SR 99 Tunnel - Lane 02,AFO0083{ NC,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 05:09,SR 99 Tunnel - Lane 02,AFO0082] NY,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 09:43,SR 520 Bridge - Lane 01,AFO0081[ NM,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 04:20,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0 080 NJ,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 20:10,SR 520 Bridge - Lane 01,AFO0079? NH,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 05:51,SR 99 Tunnel - Lane 02,AFO0078/ NV,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 01:42,SR 99 Tunnel - Lane 02,AFO0077: NE,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 02:27,SR 520 Bridge - Lane 01,AFO0076; MT,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 07:40,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0075< MO,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 20:57,SR 99 Tunnel - Lane 02,AFO0074> MS,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 23:06,SR 99 Tunnel - Lane 02,ADO0074 MN,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 09:07,SR 99 Tunnel - Lane 02,ADO0074 MN,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 10:18,SR 520 Bridge - Lane 01,ADO0073 MI,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 15:20,SR 16 Tacoma Narrows Bridge - Lane 03,ADO0073 MI,4.5,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 13:49,SR 99 Tunnel - Lane 02,ADO0072 MA,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 11:02,SR 16 Tacoma Narrows Bridge - Lane 03,ADO0072 MA,4.5,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 05:42,SR 99 Tunnel - Lane 02,ADO0071 MD,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 20:48,SR 16 Tacoma Narrows Bridge - Lane 03,ADO0071 MD,4.5,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 22:38,SR 520 Bridge - Lane 01,ADO0068 KY,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 03:18,SR 520 Bridge - Lane 01,ADO0068 KY,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 13:28,SR 520 Bridge - Lane 01,ADO0067 KS,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 11:04,SR 99 Tunnel - Lane 02,ADO0067 KS,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 05:39,SR 99 Tunnel - Lane 02,ADO0066 IA,2.8,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 08:50,SR 520 Bridge - Lane 01,ADO0066 IA,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 10:16,SR 520 Bridge - Lane 01,ADO0065 IN,4.9,
09/27/2025,Toll - Good to Go! - Reversal,09/29/2025 09:03,SR 520 Bridge - Lane 01,ADO0065 IN,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:16,SR 520 Bridge - Lane 01,AFF0080 NJ,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 09:57,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0079 NH,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 12:05,SR 99 Tunnel - Lane 02,AFF0078 NV,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 01:15,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0077 NE,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:58,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0076 MT,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 07:27,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0075 MO,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 14:24,SR 99 Tunnel - Lane 02,AFF0074 MS,2.8,
